it,sampling_method,dataset,rotulo,loss_strategy,size,Macro F1
3,Length,yelp,Length,batl,2500,6.974891711486995
3,Length,airbnb,Length,batl,2500,5.361849946213486
3,Length,yelp,Length,batl,2500,6.994485042507063
3,Length,airbnb,Length,batl,2500,5.234771835083055
3,Length,yelp,Length,batl,2500,6.165362309276549
3,Length,airbnb,Length,batl,2500,6.024531650539043
3,Length,yelp,Length,batl,2500,6.755327296099833
3,Length,airbnb,Length,batl,2500,7.304340578212021
3,Length,yelp,Length,batl,2500,7.1571475814260515
3,Length,airbnb,Length,batl,2500,6.86995641038649
3,Length,yelp,Length,batl,2500,7.293547056542872
4,Length,airbnb,Length,batl,2500,6.185688212737501
4,Length,yelp,Length,batl,2500,6.403416286076092
4,Length,airbnb,Length,batl,2500,5.521128692478092
4,Length,yelp,Length,batl,2500,5.332548129342424
4,Length,airbnb,Length,batl,2500,5.747320429344828
4,Length,yelp,Length,batl,2500,5.209681850629292
4,Length,airbnb,Length,batl,2500,5.672911177995464
4,Length,yelp,Length,batl,2500,6.890445970116335
4,Length,airbnb,Length,batl,2500,5.961738289589688
4,Length,yelp,Length,batl,2500,6.39127571757106
4,Length,airbnb,Length,batl,2500,5.671693242919455
4,Length,yelp,Length,batl,2500,5.756657489130808
5,Length,airbnb,Length,batl,2500,5.508637755481223
5,Length,yelp,Length,batl,2500,7.079027779649128
5,Length,airbnb,Length,batl,2500,5.438811175409139
5,Length,yelp,Length,batl,2500,5.242689267251226
5,Length,airbnb,Length,batl,2500,6.978275188052016
5,Length,yelp,Length,batl,2500,6.318718654472592
5,Length,airbnb,Length,batl,2500,5.571918718469554
5,Length,yelp,Length,batl,2500,6.278734366933908
5,Length,airbnb,Length,batl,2500,5.67367224891423
5,Length,yelp,Length,batl,2500,7.386825638771243
5,Length,airbnb,Length,batl,2500,6.407036492395666
5,Length,yelp,Length,batl,2500,6.43201177677344
1,Length,airbnb,Length,batl,5000,14.021302253666747
1,Length,yelp,Length,batl,5000,12.935156002318807
1,Length,airbnb,Length,batl,5000,13.400118143466605
1,Length,yelp,Length,batl,5000,12.208814914407872
1,Length,airbnb,Length,batl,5000,13.814461826107674
1,Length,yelp,Length,batl,5000,11.89552942362092
1,Length,airbnb,Length,batl,5000,11.855730529068595
1,Length,yelp,Length,batl,5000,10.391903151848982
1,Length,airbnb,Length,batl,5000,10.58108921078761
1,Length,yelp,Length,batl,5000,10.405335069184206
1,Length,airbnb,Length,batl,5000,10.028578497324345
1,Length,yelp,Length,batl,5000,14.331183234106062
2,Length,airbnb,Length,batl,5000,11.239785275865003
2,Length,yelp,Length,batl,5000,14.580793169800195
2,Length,airbnb,Length,batl,5000,10.19133680651614
2,Length,yelp,Length,batl,5000,10.584899399321632
